DX,BODY_SYSTEM,ICD
1973,malignancy,9
1974,malignancy,9
1975,malignancy,9
1976,malignancy,9
1977,malignancy,9
1978,malignancy,9
198,malignancy,9
1980,malignancy,9
1981,malignancy,9
1982,malignancy,9
1983,malignancy,9
1984,malignancy,9
1985,malignancy,9
1986,malignancy,9
1987,malignancy,9
1988,malignancy,9
19881,malignancy,9
19882,malignancy,9
19889,malignancy,9
199,malignancy,9
1990,malignancy,9
1991,malignancy,9
1992,malignancy,9
200,malignancy,9
2000,malignancy,9
20000,malignancy,9
20001,malignancy,9
20002,malignancy,9
20003,malignancy,9
20004,malignancy,9
20005,malignancy,9
20006,malignancy,9
20007,malignancy,9
20008,malignancy,9
2001,malignancy,9
20010,malignancy,9
20011,malignancy,9
20012,malignancy,9
20013,malignancy,9
20014,malignancy,9
20015,malignancy,9
20016,malignancy,9
20017,malignancy,9
20018,malignancy,9
2002,malignancy,9
20020,malignancy,9
20021,malignancy,9
20022,malignancy,9
20023,malignancy,9
20024,malignancy,9
20025,malignancy,9
20026,malignancy,9
20027,malignancy,9
20028,malignancy,9
2003,malignancy,9
20030,malignancy,9
20031,malignancy,9
20032,malignancy,9
20033,malignancy,9
20034,malignancy,9
20035,malignancy,9
20036,malignancy,9
20037,malignancy,9
20038,malignancy,9
2004,malignancy,9
20040,malignancy,9
20041,malignancy,9
20042,malignancy,9
20043,malignancy,9
20044,malignancy,9
20045,malignancy,9
20046,malignancy,9
20047,malignancy,9
20048,malignancy,9
2005,malignancy,9
20050,malignancy,9
20051,malignancy,9
20052,malignancy,9
20053,malignancy,9
20054,malignancy,9
20055,malignancy,9
20056,malignancy,9
20057,malignancy,9
20058,malignancy,9
2006,malignancy,9
20060,malignancy,9
20061,malignancy,9
20062,malignancy,9
20063,malignancy,9
20064,malignancy,9
20065,malignancy,9
20066,malignancy,9
20067,malignancy,9
20068,malignancy,9
2007,malignancy,9
20070,malignancy,9
20071,malignancy,9
20072,malignancy,9
20073,malignancy,9
20074,malignancy,9
20075,malignancy,9
20076,malignancy,9
20077,malignancy,9
20078,malignancy,9
2008,malignancy,9
20080,malignancy,9
20081,malignancy,9
20082,malignancy,9
20083,malignancy,9
20084,malignancy,9
20085,malignancy,9
20086,malignancy,9
20087,malignancy,9
20088,malignancy,9
201,malignancy,9
2010,malignancy,9
20100,malignancy,9
20101,malignancy,9
20102,malignancy,9
20103,malignancy,9
20104,malignancy,9
20105,malignancy,9
20106,malignancy,9
20107,malignancy,9
20108,malignancy,9
2011,malignancy,9
20110,malignancy,9
20111,malignancy,9
