NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
378901,2.858017077428524,650,124759,3.0370634583476943,3.027400771720317,3.046749356908198,0.003181588649660351,0.0031892315367598833,2.848924042734442,2.867131955624457,All conditions
381902,2.8808104527872964,655,124759,3.061117835186239,3.0514169284394086,3.070841953815981,0.0031690732827474918,0.0031766560953542175,2.8716809533487084,2.8899617968717033,All conditions
384938,2.9037788965717715,660,124759,3.0854527529076057,3.075713332788617,3.0952153848593054,0.003156561094578621,0.003164084085390637,2.8946129410795947,2.912966697165907,All conditions
388031,2.9271540241201266,665,124759,3.110244551495283,3.100466050791173,3.120046263981567,0.003143965222737517,0.003151428231446259,2.9179511536666967,2.9363787399495305,All conditions
390888,2.9486083336895748,670,124759,3.1331447029873596,3.123330241749615,3.1429823759611315,0.003132463441087364,0.0031398718879443997,2.9393719258822064,2.957866586105085,All conditions
393789,2.9701243647782842,675,124759,3.1563975344464126,3.1465466930729855,3.1662715875095238,0.0031209127703094486,0.0031282666252756865,2.9608548657188405,2.9794157057015385,All conditions
396770,2.9933023270149657,680,124759,3.180291602209059,3.170403516784969,3.190202899275743,0.0031091757174787965,0.003116474306884138,2.983995624104738,3.002630876809844,All conditions
399506,3.0144180119819675,685,124759,3.202221883791951,3.192299738243869,3.2121672409398716,0.003098519062124635,0.0031057676540963944,3.0050777803106294,3.0237800939395068,All conditions
402391,3.0367144805975004,690,124759,3.2253464679902852,3.2153885335274808,3.2353276140083174,0.003087399931024854,0.0030945965393452393,3.0273389285195615,3.046111886720137,All conditions
405313,3.0592236410418012,695,124759,3.2487676239790315,3.2387735721471107,3.258784887321483,0.0030762593662147742,0.003083404078677188,3.0498126756627006,3.0686564636941753,All conditions
408188,3.0812570691151246,700,124759,3.2718120536394166,3.261782592226869,3.281864726518986,0.003065414897958838,0.00307250927460433,3.0718117377910183,3.090724260037421,All conditions
410930,3.101444151028008,705,124759,3.293790427945078,3.2837273110264813,3.303876756289627,0.003055178263079382,0.003062225288826824,3.0919686862736326,3.1109414717391703,All conditions
413821,3.123603996062199,710,124759,3.316963104866182,3.3068646249856335,3.327084796129823,0.003044495691174038,0.0030514934726865494,3.1140941971552536,3.1331356532674404,All conditions
416603,3.1445995165792473,715,124759,3.33926209732364,3.3291297042182957,3.3494177017712565,0.003034320999679912,0.003041272039040026,3.1350577922305076,3.1541630991629988,All conditions
419274,3.164849192163147,720,124759,3.360671374409862,3.350506527579362,3.370859432543825,0.003024647666505317,0.003031554412472679,3.1552766384392297,3.1744436046964597,All conditions
421910,3.1844340611985156,725,124759,3.3818001106132622,3.3716033365163685,3.3920200959756803,0.0030151912482623603,0.0030220548311960314,3.174832383486521,3.1940575955377857,All conditions
424642,3.2052717143363947,730,124759,3.4036983303809745,3.3934685713410424,3.413951300647483,0.0030054834615108354,0.003012302875079058,3.195638323209308,3.2149269635368998,All conditions
428030,3.2306488744968838,735,124759,3.430854687838152,3.420584170639592,3.441148416215508,0.0029935739438243045,0.003000339365536455,3.2209776882045444,3.240341917491263,All conditions
430812,3.251791208660262,740,124759,3.45315368029561,3.4428498156681897,3.463480756063014,0.002983899814889851,0.0029906215371567377,3.2420881894746802,3.261516085483218,All conditions
433547,3.2733584179043906,745,124759,3.475075946424707,3.4647394025464995,3.4854357014051063,0.002974479993406222,0.0029811593012975253,3.263621878779086,3.2831168207984067,All conditions
436215,3.2939883955791784,750,124759,3.4964611771495444,3.4860928537452094,3.5068527116195485,0.0029653763845842833,0.002972014829712958,3.284220480179833,3.303778177939742,All conditions
438732,3.312956714908948,755,124759,3.5166360743513496,3.5062378590080527,3.527057500726165,0.0029568642087068535,0.0029634645594476877,3.3031607517736385,3.3227745447205645,All conditions
441427,3.3337411061826727,760,124759,3.5382377223286494,3.5278075960153266,3.548691059637251,0.002947830850228567,0.0029543908942674998,3.3239138013031924,3.343590280550624,All conditions
443985,3.3526240306139523,765,124759,3.5587412531360463,3.5482809280297003,3.5692247892035778,0.002939332860215138,0.002945855099269484,3.342769552632822,3.3625003752104696,All conditions
446695,3.37358876765079,770,124759,3.5804631329202703,3.5699709093157144,3.5909785674502124,0.002930409618824462,0.002936892278895094,3.363702770676108,3.3834966344546706,All conditions
449201,3.3927311727730536,775,124759,3.6005498601303314,3.59002822524171,3.611094705911524,0.002922230019678327,0.0029286765052076867,3.3828168318912777,3.40266738484724,All conditions
451844,3.4130721618280586,780,124759,3.621734704510296,3.6111821392112855,3.6323104806675643,0.002913677052565126,0.0029200858207803033,3.403127571791391,3.423038625453113,All conditions
454371,3.432182201732226,785,124759,3.6419897562500503,3.6314077025426217,3.6525950207832096,0.002905569322173035,0.0029119424388713796,3.4222097584187647,3.442176518743389,All conditions
456876,3.4520874494207234,790,124759,3.662068468006316,3.6514572634385756,3.6727028833678106,0.002897598627782442,0.0029039367926629992,3.442084685564297,3.4621120931765863,All conditions
459452,3.4720773502653053,795,124759,3.6827162769820214,3.6720751785471255,3.6933805861780615,0.0028894700635521864,0.0028957726835202985,3.462044886703376,3.482131697011273,All conditions
462102,3.492671944427885,800,124759,3.7039572295385503,3.6932854658035437,3.714652204001439,0.002881178986058699,0.002887445453634732,3.4826089314164026,3.502756844154861,All conditions
464646,3.5122469850021596,805,124759,3.7243485439928183,3.7136474241835526,3.735072874498302,0.002873286343332727,0.0028795184926452156,3.502155293705741,3.5223605651462107,All conditions
467086,3.530865330051943,810,124759,3.743906251252415,3.733177050869037,3.7546586623018845,0.002865776988883933,0.0028719765741657558,3.5207466574382322,3.5410058925663863,All conditions
